name,address,lat,long
BREC PARK,20001 PRIDE-BAYWOOD RD,30.711112,-90.914547
BREC PARK,1650 EDDIE ROBINSON SR DR,30.433203,-91.173341
BREC PARK,1801 GAYOSA ST,30.454097,-91.170547
BREC PARK,4100 GERONIMO ST,30.486832,-91.161971
BREC PARK,7900 STARWOOD CT,30.354049,-91.139522
BREC PARK,8900 BURBANK DR,30.362535,-91.128858
BREC PARK,10503 N OAK HILLS PKWY,30.369912,-91.104442
BREC PARK,1351 COUNTRY CLUB DR,30.436529,-91.141956
BREC PARK,6201 FLORIDA BLVD,30.451315,-91.126106
BREC PARK,2623 MICHELLI DR,30.47245,-91.127224
BREC PARK,7300 DOVER ST,30.49948,-91.116978
BREC PARK,12000 SCOTLAND-ZACHARY HWY,30.55486,-91.17284
BREC PARK,3503 JEFFERSON ST,30.590594,-91.162996
BREC PARK,3451 39TH ST,30.639356,-91.16561
BREC PARK,6117 CADILLAC ST,30.518077,-91.128862
BREC PARK,5408 MYRTLE ST,30.578714,-91.143836
BREC PARK,15206 PLANK RD,30.585108,-91.125384
BREC PARK,10777 INDUSTRIPLEX BLVD,30.39218,-91.06507
BREC PARK,18460 SANTA MARIA PKWY,30.339882,-91.010067
BREC PARK,6229 ANTIOCH BLVD,30.393519,-91.002156
BREC PARK,801 S FLANNERY RD,30.450315,-91.034682
BREC PARK,13900 S HARRELL'S FERRY RD,30.430329,-91.027572
BREC PARK,16200 HAMILTON AVE,30.481677,-91.007306
